Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Morocco,Consumer Electronics,Penetration Rate,TV Peripheral Devices,percent,Statista,4.39,4.841,5.296,5.789,6.177,6.503,6.76,6.943,7.129,7.305,7.451
Morocco,Household Appliances,Revenue,Total,million USD (US$),Statista,33.77,36.2,39.25,45.47,49.89,54.26,73.55,93.54,119.8,129.1,142
Morocco,Household Appliances,Revenue,Major Appliances,million USD (US$),Statista,17.13,18.36,19.91,23.08,25.32,27.51,37.26,47.34,60.6,65.25,71.81
Morocco,Household Appliances,Revenue,Other Household Appliances,million USD (US$),Statista,7.594,8.142,8.827,10.23,11.22,12.2,16.54,21.04,26.95,29.02,31.94
Morocco,Household Appliances,Revenue,Small Appliances,million USD (US$),Statista,9.046,9.698,10.52,12.17,13.35,14.54,19.75,25.16,32.29,34.78,38.29
Morocco,Household Appliances,Revenue Change,Total,percent,Statista,,7.196,8.425,15.847,9.721,8.759,35.551,27.179,28.074,7.763,9.992
Morocco,Household Appliances,Revenue Change,Major Appliances,percent,Statista,,7.18,8.442,15.922,9.705,8.649,35.442,27.053,28.01,7.673,10.054
Morocco,Household Appliances,Revenue Change,Other Household Appliances,percent,Statista,,7.216,8.413,15.894,9.677,8.734,35.574,27.207,28.089,7.681,10.062
Morocco,Household Appliances,Revenue Change,Small Appliances,percent,Statista,,7.208,8.476,15.684,9.696,8.914,35.832,27.392,28.339,7.711,10.092
Morocco,Household Appliances,Average Revenue per User,Total,USD (US$),Statista,14.38,11.45,9.185,8.3,7.2,6.373,7.298,8.29,9.568,9.333,9.401
Morocco,Household Appliances,Average Revenue per User,Major Appliances,USD (US$),Statista,18.23,14.52,11.65,10.53,9.137,8.079,9.244,10.49,12.1,11.8,11.88
Morocco,Household Appliances,Average Revenue per User,Other Household Appliances,USD (US$),Statista,16.16,12.88,10.33,9.333,8.096,7.166,8.206,9.322,10.76,10.49,10.57
Morocco,Household Appliances,Average Revenue per User,Small Appliances,USD (US$),Statista,4.814,3.835,3.076,2.776,2.408,2.135,2.449,2.787,3.223,3.144,3.167
Morocco,Household Appliances,Comparable Estimates - Household Appliances (Worldwide),*Statista,billion USD (US$),,128.4,145.6,163.7,197.3,233.1,221.4,264.4,291.3,322.3,342.6,365.2
Morocco,Household Appliances,Comparable Estimates - Household Appliances (Worldwide),Million Insights,billion USD (US$),,,,,316,329.6,,,,,,
Morocco,Household Appliances,Comparable Estimates - Household Appliances (Worldwide),The BRC,billion USD (US$),,,,307.6,,,,433.4,,,,
Morocco,Household Appliances,Online & Offline Split,Offline,percent,Statista,98.585,98.533,98.461,98.37,98.202,97.798,97.284,96.635,95.797,,
Morocco,Household Appliances,Online & Offline Split,Online,percent,Statista,1.415,1.467,1.539,1.63,1.798,2.202,2.716,3.365,4.203,,
Morocco,Household Appliances,Mobile/Desktop Split,Desktop,percent,Statista,45.525,42.736,41.903,40.567,39.117,37.794,36.314,35.107,33.861,,
Morocco,Household Appliances,Mobile/Desktop Split,Mobile,percent,Statista,54.475,57.264,58.097,59.433,60.883,62.206,63.686,64.893,66.139,,
Morocco,Household Appliances,Users,Total,million users,Statista,2.349,3.161,4.274,5.478,6.929,8.514,10.078,11.283,12.525,13.828,15.11
Morocco,Household Appliances,Users,Major Appliances,million users,Statista,0.94,1.265,1.709,2.191,2.772,3.405,4.031,4.513,5.01,5.531,6.044
Morocco,Household Appliances,Users,Other Household Appliances,million users,Statista,0.47,0.632,0.855,1.096,1.386,1.703,2.016,2.257,2.505,2.766,3.022
Morocco,Household Appliances,Users,Small Appliances,million users,Statista,1.879,2.529,3.419,4.383,5.543,6.811,8.062,9.026,10.02,11.062,12.088
Morocco,Household Appliances,Penetration Rate,Household Appliances,percent,Statista,6.602,8.775,11.717,14.843,18.554,22.539,26.387,29.226,32.108,35.093,37.975
Morocco,Household Appliances,Penetration Rate,Major Appliances,percent,Statista,2.641,3.51,4.687,5.937,7.422,9.016,10.555,11.69,12.843,14.037,15.19
Morocco,Household Appliances,Penetration Rate,Other Household Appliances,percent,Statista,1.32,1.755,2.343,2.969,3.711,4.508,5.277,5.845,6.422,7.018,7.595
Morocco,Household Appliances,Penetration Rate,Small Appliances,percent,Statista,5.282,7.02,9.374,11.874,14.843,18.031,21.109,23.38,25.687,28.074,30.38
Morocco,"Beauty, Health, Personal & Household Care",Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,18,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,35.429,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.429,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,13.714,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,5.43,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,59.143,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,40.857,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,41.611,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.181,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.208,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",Revenue,Total,million USD (US$),Statista,51.34,64.35,80.1,109.5,136.3,138.9,176.3,210.3,253.2,275.8,302.8
Morocco,"Beauty, Health, Personal & Household Care",Revenue,Beauty Care,million USD (US$),Statista,6.77,8.332,10.27,14.18,17.59,17.72,22.16,25.94,30.52,33.27,36.41
Morocco,"Beauty, Health, Personal & Household Care",Revenue,Health Care,million USD (US$),Statista,10.48,12.76,15.38,22.22,27.09,27.09,33.66,39.14,45.77,49.87,54.5
